T_C,hyland_Pa,virial_greenspan_Pa,magnus_Pa,pct_diff_virial,pct_diff_magnus
45,9593.219934,9526.332110,9582.482742,-0.697241,-0.111925
46,10097.596735,10027.465850,10086.314351,-0.694530,-0.111733
47,10624.610299,10551.105288,10612.810184,-0.691837,-0.111064
48,11175.087869,11098.073544,11162.806182,-0.689161,-0.109902
49,11749.879112,11669.216081,11737.161626,-0.686501,-0.108235
50,12349.856467,12265.401041,12336.759540,-0.683858,-0.106049
51,12975.915479,12887.519591,12962.507091,-0.681230,-0.103333
52,13628.975149,13536.486264,13615.335992,-0.678620,-0.100075
53,14309.978265,14213.239295,14296.202900,-0.676025,-0.096264
54,15019.891738,14918.740956,15006.089823,-0.673445,-0.091891
55,15759.706943,15653.977889,15746.004515,-0.670882,-0.086946
56,16530.440042,16419.961442,16516.980881,-0.668334,-0.081420
57,17333.132317,17217.727991,17320.079375,-0.665802,-0.075306
58,18168.850493,18048.339268,18156.387400,-0.663285,-0.068596
59,19038.687068,18912.882687,19027.019707,-0.660783,-0.061282
60,19943.760622,19812.471660,19933.118790,-0.658296,-0.053359
